scenario,Total_Time,Time_Script,Time_Image,Time_Voice,Time_Video,Problem Size,Predicted Problem Size,setting,Script
29,60.28,5.53,24.29,4.12,8.03,disaster,disaster,vacation,"Maria, a 13-year-old girl, was on a family vacation at the beach when a sudden storm caused their rented beach house to flood.The storm damaged the ground floor, putting their safety at risk and forcing them to leave immediately.With no immediate backup plan, they had to find temporary shelter, causing significant stress and uncertainty for the family.The vacation was abruptly halted, bringing financial strain and emotional distress to the family.Maria thought to herself, ""How big is this problem?"""
30,55.64,6.23,16.98,4.43,7.6,disaster,bummer,game,"Ella, a 12-year-old girl, was playing her favorite online game when a storm caused a power outage.The power cut knocked out the internet and her progress in the game was lost, meaning she couldn’t complete her mission.This setback could significantly affect her standing in the game community, where she was vying for a top spot.Without immediate power restoration, her hours of gameplay and strategic planning might all go to waste, causing distress.Ella wondered, 'How big is this problem?'"
31,59.46,6.95,19.44,4.02,7.81,disaster,disaster,field trip,"Lily and her classmates excitedly board the bus for their field trip.As they approach the destination, the bus suddenly stops due to a severe engine failure.It's a remote area with no immediate help, and the weather starts turning bad.The teachers try calling for assistance, but the cell signal is weak, making it difficult to get help quickly.As the storm approaches and the situation grows tense, Lily wonders, ""How big is this problem?"""
32,59.01,6.66,19.09,4.26,8.31,disaster,disaster,playing video game,"Liam sat down with his older brother Jason to play their favorite online game when suddenly, Liam received a frantic call from his mom saying their family home had caught fire.The fire had spread quickly, resulting in major damage, and their parents were desperately trying to handle the situation.They soon found out that they might have lost many of their belongings, including their gaming consoles and cherished childhood items.Liam realized that they would have to live with relatives for a while, as it would take months to repair the damage.Feeling overwhelmed, Liam stared at his phone and asked himself, ""How big is this problem?"""
33,57.99,4.45,20.57,4.0,7.93,disaster,disaster,soccer,"Tom, an 18-year-old soccer player, was on his way to an important college tournament with his team.Suddenly, their bus skidded off the road due to a landslide caused by torrential rain.Everyone was scared, but thankfully, no one was seriously injured.The disaster meant their tournament plans were ruined, causing significant disappointment and worry about safety.Tom thought to himself, ""How big is this problem?"""
34,62.51,8.64,19.18,4.29,7.6,disaster,disaster,ski,"Jake, a 16-year-old, was skiing with his family when an avalanche suddenly hit the slopes.They were quickly caught in the snow, and Jake couldn't see his parents.There was no immediate help on the way, and visibility was poor due to the storm.Without immediate rescue, their safety was uncertain, and Jake felt a deep sense of panic.As he tried to stay calm, he thought, ""How big is this problem?"""
35,52.24,5.41,13.84,3.77,8.14,disaster,disaster,ski,"Lucas, a 12-year-old, is skiing with his family in the breathtaking snowy mountains.Without warning, a sudden blizzard descends, separating Lucas from his parents.He tries to call for help, but his phone has no signal in the storm.Fear takes over as he realizes the serious risk of being alone in severe weather.Lucas asks himself, 'How big is this problem?'"
36,64.99,10.65,13.37,4.04,7.37,disaster,disaster,soccer,"Jamie, a 15-year-old, was excited to play in the soccer championship game.As the game started, dark clouds suddenly gathered and the wind picked up.Midway through the match, a lightning bolt struck, causing a fire to break out near the field.The match was stopped, and everyone had to evacuate, leaving Jamie worried and shaken.Jamie asked, ""How big is this problem?"""
37,53.1,5.35,17.77,3.95,7.76,disaster,disaster,soccer,"Nick was playing in a soccer match when a teammate suddenly collapsed on the field.The coach quickly called for an ambulance as everyone gathered around.The ambulance took a while to arrive, and Nick felt scared because they didn’t know what was wrong with his friend.There was no quick fix or backup plan for this serious situation, and everyone felt helpless.Nick asked himself, ""How big is this problem?"""
38,53.51,4.45,18.21,4.26,7.71,disaster,bummer,class,"Ellie, a 17-year-old, was in class when she heard a loud crash from outside.The principal announced that powerful winds had knocked a tree onto her parents' car in the school parking lot.Thankfully, no one was hurt, but the family now had a significant financial burden to replace the car.Without a quick fix or easy backup plan, this would take a long time and support from others to resolve.Ellie thought to herself, ""How big is this problem?"""
39,59.46,6.7,18.92,4.05,7.85,disaster,disaster,curling,"Emily, a 16-year-old competitive curler, arrives at the curling rink for a major regional tournament.Suddenly, a severe snowstorm hits, causing chaos and making the arena unsafe.The event is canceled, which means Emily's team loses their chance to compete, and they face major financial losses from sponsorships.Without a quick fix, this situation deeply affects her team's morale and future plans.Emily wonders, ""How big is this problem?"""
40,54.52,4.9,18.88,4.09,7.95,disaster,disaster,playing video game,"Alex was playing his favorite video game when suddenly the power went out, leaving him stuck in the dark.His house was in the middle of a massive storm, and the whole neighborhood lost electricity.The storm was so intense that it caused a tree to fall, damaging the power lines severely.With no quick fix in sight, Alex's family faced the possibility of being without power for days.As darkness encompassed his room, Alex wondered aloud, 'How big is this problem?'"
41,54.34,4.02,18.94,4.6,7.51,disaster,disaster,dancing,"Mae was excited for her big dance recital at the community theater.Just before her performance, she got a call that their house had caught fire.Her parents assured Mae that everyone was safe, but their home was badly damaged.The family faced the loss of their home and many belongings, which would take a long time to rebuild.Mae wondered, ""How big is this problem?"""
42,53.73,5.98,13.07,4.47,7.87,disaster,disaster,vacation,"Anna was on a family vacation at the beach when a huge storm hit, causing flooding and major damage to the area.Their hotel was severely affected, and they were evacuated to a nearby shelter along with many other families.Anna's family learned that getting back home might be delayed due to the storm damage.The storm also caused a power outage, and Anna worried about being safe and warm.She asked herself, 'How big is this problem?'"
43,55.11,4.11,18.06,4.54,7.68,disaster,disaster,class,"In Jackson's classroom, a fire alarm suddenly goes off, and smoke starts filling the room.The teacher quickly instructs everyone to leave, but Jackson notices his friend, Emily, is missing.The smoke is getting thicker, making it hard to see and breathe.Jackson feels scared and helpless, knowing the fire could harm his friend.He asks himself, ""How big is this problem?"""
44,57.98,4.37,19.09,4.43,7.61,disaster,disaster,class,"In the middle of class, Lily hears a loud siren outside the window and sees smoke rising from the school gym.The teacher quickly gathers the students and they evacuate the building in a hurry.Firefighters are already on the scene, working tirelessly to control the flames.Lily feels scared and wonders about the safety of her friends and if the school will be okay.She whispers to herself, ""How big is this problem?"""
45,59.37,5.3,19.39,4.04,7.85,disaster,disaster,dancing,"In a small dance studio, 16-year-old Mia twirls gracefully, preparing for her big performance.Suddenly, the studio lights flicker, and her heart sinks as a fire alarm blares through the building.Smoke fills the air, and she hears people shouting to evacuate the building quickly.Mia realizes her important dance costume and gear are still inside and might be lost.As she leaves the building, Mia asks herself, ""How big is this problem?"""
46,59.11,4.01,19.24,4.1,8.09,disaster,disaster,art,"Sophie, a 12-year-old girl, paints a colorful mural on the side of an art studio.Just after finishing, a severe storm hits the area, causing significant damage to the building and her artwork.The art studio is left with broken windows and a damaged roof, making it unsafe to enter.Sophie worries about the financial impact on the studio and her lost art, realizing there's no quick fix for the situation.She asks herself, 'How big is this problem?'"
47,60.78,4.78,21.58,4.11,7.75,disaster,disaster,class,"In a small town, 17-year-old Mia was at school when she received a call from her dad.The family home had been caught in a sudden fire, and everything was lost.There was no quick fix, and they didn't have insurance to cover the loss.Mia and her family had to find temporary housing and rely on community support.Mia thought to herself, ""How big is this problem?"""
48,57.91,5.82,18.64,4.89,8.0,disaster,disaster,game,"Jack was playing his favorite racing video game when suddenly the power went out during a storm.He realized it wasn’t just his house; the whole neighborhood was plunged into darkness due to a power outage.The storm had caused damage to the power lines, and it might take days to restore electricity.With no electricity, they couldn’t run the home appliances or charge any devices, impacting daily life significantly.Jack asked himself, 'How big is this problem?' as his family prepared for a challenging few days ahead."
49,59.37,5.62,17.96,4.44,8.35,disaster,disaster,birthday party,"It was Lucas's birthday party, and he was filled with joy, surrounded by his friends and family.Suddenly, the candles on his birthday cake set off a small fire, quickly spreading to the curtains.Lucas watched in horror as the fire alarm blared, and everyone scrambled to safety.The fire department arrived, but the damage to the house was extensive.Lucas asked himself, ""How big is this problem?"""
50,55.58,4.38,18.34,4.16,7.51,disaster,disaster,after school club,"Alex had just finished his after-school club when news broke that a tornado was heading towards town.The teachers quickly gathered everyone inside the building, but panic was setting in.For Alex, the thought of losing his home or loved ones was terrifying.There was no quick fix; they had to wait for the storm to pass safely.Alex thought to himself, 'How big is this problem?'"
51,56.79,7.81,17.17,4.58,7.67,disaster,disaster,ski,"Lucas was skiing down a steep slope when a sudden avalanche started up the mountain, heading his way.He skidded to a stop, heart pounding, realizing there was no quick escape path.Lucas knew the ski patrol was nearby, but he was unsure if they could reach him in time.No backup plan seemed sufficient against the powerful force of nature descending toward him.As the rumble grew louder, he asked himself, 'How big is this problem?'"
52,70.53,9.26,20.19,3.84,7.47,disaster,disaster,swimming,"A 10-year-old boy named Alex was excited for his swimming lessons at the community pool.As he entered the pool area, the alarms suddenly blared, and the staff announced a heavy storm warning.The storm developed quickly, causing a power outage and the facility to evacuate.Alex, scared and worried, thought about the possibility of floods damaging his home.He sat with his parents, asking himself, ""How big is this problem?"""
53,57.08,8.46,17.01,3.97,7.26,disaster,disaster,ski,"Tina gazed out over the snowy mountains, her ski trip off to a thrilling start.Suddenly, an avalanche roared from the peak, heading toward the ski resort.People were running for safety, panic spreading throughout the area.Tina felt her heart race, unsure if help would arrive in time.She asked herself, ""How big is this problem?"""
54,61.26,9.25,17.87,5.05,8.02,disaster,disaster,vacation,"Sam, a 12-year-old boy, was on vacation with his family in a coastal town when suddenly a large earthquake struck.The earthquake triggered a tsunami warning, and the family was urged to evacuate immediately.Their only escape route was blocked by debris from a landslide, leaving them trapped with limited communication.The family had no access to food or water at the moment, and panic started to set in.Sam thought to himself, ""How big is this problem?"""
55,69.15,9.86,23.92,5.82,7.79,disaster,disaster,running,"Jasmine loved running and was training for a race at her school when a strong earthquake struck her town.The shaking was intense, causing her to lose her balance and fall while outside on her practice run.In the aftermath, the power lines were down, and Jasmine's house had a huge crack running through it.Her family was safe but worried about the damage and how they would rebuild their home.Jasmine sat on the doorstep, asking herself, ""How big is this problem?"""
56,65.24,7.01,23.22,6.0,8.1,disaster,disaster,birthday party,"Emma was excited for her 10th birthday party, ready to welcome her friends to her backyard.Just before the party, a neighbor's candle fell and started a small fire on their wooden porch next door.The fire quickly spread to Emma’s home, causing panic among the family and guests.They managed to call the fire department, but significant damage was already done.Emma stood with her parents, watching the firemen work hard, wondering, 'How big is this problem?'"
57,54.71,5.15,14.49,5.04,7.36,disaster,disaster,game,"Emma was playing her favorite video game when a sudden storm hit her neighborhood.The power went out, leaving the house in complete darkness.Emma's phone was dead, and she couldn't reach her family who were outside.The storm knocked down a tree, blocking the main road to their house.Emma sat in the dark, wondering, 'How big is this problem?'"
58,57.85,5.51,20.68,4.1,7.99,disaster,bummer,birthday party,"Emma walked into the kitchen to find smoke billowing from the oven, the birthday cake she was baking for her little brother's party completely ruined.Frantically, she remembered that the smoke alarm started blaring, causing panic in the house.The entire family rushed to open windows and doors to clear the air, their plans for the party now uncertain.The guests would arrive soon, and there was no backup cake or time to make another.Emma asked herself, ""How big is this problem?"""
59,59.46,8.17,20.64,4.18,7.49,disaster,disaster,singing,"Maria stood on stage, her voice trembling with nerves.Suddenly, thick smoke began to fill the room from a backstage fire.Parents and teachers rushed to evacuate the theater, everyone in a panic.Maria coughed and stumbled, fear gripping her heart as alarms blared.“How big is this problem?” Maria thought to herself."
60,65.41,6.6,23.19,4.4,7.92,disaster,disaster,curling,"Emma, a 16-year-old curling enthusiast, was at her local curling rink when a severe storm hit the area unexpectedly.Lightning struck, causing a fire to break out in part of the building, interrupting her practice session.The fire alarm blared, and everyone rushed out quickly, but Emma realized her equipment was still inside.Firefighters arrived promptly, but the extent of the damage was unclear, and her equipment seemed lost.Standing outside in the rain, Emma thought, ""How big is this problem?"""
61,60.41,8.85,20.16,4.19,7.67,disaster,disaster,birthday party,"Paige was excited for her cousin's birthday party at home when a strong storm hit and knocked down a tree onto their house.The damage was severe, creating a big hole in the roof, leaving the family exposed to the elements.Everyone was safe, but they had to evacuate immediately and find temporary shelter.With no quick fix available, their house needed extensive repairs, and it would take weeks to make it livable again.Paige asked herself, ""How big is this problem?"""
62,56.43,8.13,14.82,4.14,8.27,disaster,disaster,basketball,"One sunny afternoon, 14-year-old Alex was playing basketball with friends at the local park.Unexpectedly, a nearby electrical transformer exploded, causing a fire that quickly spread to the surrounding area.Everyone ran to safety, but the flames and smoke threatened to engulf the basketball court and nearby benches.Emergency services arrived, but the fire was intense and hard to contain quickly.Alex watched in fear and thought, ""How big is this problem?"""
63,57.31,5.16,16.92,5.97,7.63,disaster,disaster,vacation,"During their vacation at a beach resort, Sophie, age 9, learns that a hurricane is approaching their area.Their family is advised to evacuate immediately, leaving behind their belongings.Sophie feels scared as they drive away, seeing strong winds and rain start to hit the area.The road is crowded with others evacuating, causing stress and chaos.Sophie wonders, ""How big is this problem?"""
64,58.54,5.66,17.84,5.99,8.45,disaster,disaster,art,"Emma was excited for the big art show at school, where her painting was to be displayed.Just before the show started, a fire broke out in the art room, putting everyone in danger and destroying the artwork.The fire alarm blared as students and teachers hurried to safety, leaving behind the paintings and sculptures.Although the fire was controlled, Emma's painting and many others were lost in the flames.Standing outside, Emma worried, 'How big is this problem?'"
65,58.64,3.75,18.93,4.94,7.8,disaster,disaster,volleyball,"Emma, a 12-year-old girl, was thrilled for her volleyball practice at school.During practice, an unexpected storm hit, causing severe flooding in the area.The floodwaters quickly rose, trapping Emma and her teammates inside the gym.The school called emergency services, but it was unclear how long it would take for help to arrive.Emma wondered to herself, ""How big is this problem?"""
66,54.26,5.49,15.02,4.4,7.67,disaster,disaster,ski,"Lucas, a 16-year-old boy, was skiing with his friends when an unexpected snowstorm hit the slopes.Visibility dropped to nearly zero, and Lucas became separated from his group.Cold and disoriented, he realized his cellphone battery had died, leaving him unable to call for help.Without any clear landmarks and with night approaching, he knew he faced real danger.Lucas asked himself, 'How big is this problem?'"
67,60.56,5.78,19.88,4.05,7.82,disaster,disaster,singing,"Maria was practicing her song for the school talent show when she suddenly noticed smoke creeping into her bedroom.Her parents rushed in and shouted that there was a fire in the kitchen, spreading quickly through the house.The family had no choice but to evacuate immediately, leaving behind all their belongings.Standing outside, Maria began to panic about losing her home and everything in it.She asked herself, ""How big is this problem?"""
68,54.3,7.11,15.41,4.31,7.86,disaster,disaster,ski,"Lily was excited to spend the day skiing with her family at the snowy resort.Halfway through the day, a blizzard hit unexpectedly, creating whiteout conditions on the slopes.Lily and her brother, Jack, got separated from their parents due to the heavy snowfall and lost visibility.With no clear way back and temperatures dropping rapidly, Lily wondered about the safety of her family.Feeling cold and scared, Lily asked herself, ""How big is this problem?"""
69,53.43,7.07,12.66,4.74,7.73,disaster,disaster,tryout,"In a small town, Liam was excited about the soccer tryouts happening at his school.Just as the tryouts started, a loud wail of sirens echoed, and everyone was asked to leave the field immediately.A sudden fire had erupted nearby, quickly spreading and causing everyone to evacuate to safety.Liam looked around, worried about the safety of his friends and family as the smoke rose higher.He asked himself, 'How big is this problem?'"
70,52.56,6.73,13.29,4.13,7.63,disaster,disaster,ski,"Alex was enjoying a ski trip with his family when a sudden avalanche hit.The snow roared down the slope, sweeping away everything in its path.Alex's family was separated, and he found himself alone, unsure of what to do.There were rescue teams arriving, but the path to safety seemed blocked by the heavy snow.Alex asked himself: 'How big is this problem?'"
71,56.98,5.62,19.06,4.02,7.71,disaster,disaster,birthday party,"Jenny was so excited about her birthday party, which was being held at her house with all her friends invited.Suddenly, a strong storm hit the area, causing flooding and damage to homes, including Jenny's.The power went out, and everyone had to evacuate for their safety, leaving the party behind.Jenny was worried about her family and friends, and unsure about what would happen next.She asked herself, 'How big is this problem?'"
72,58.3,6.58,20.15,4.35,7.63,disaster,disaster,field trip,"Sophia and her classmates were on a field trip to the mountains when a sudden storm hit.The wind howled, and their bus got stuck on a muddy road leading up the hillside.Their teacher tried calling for help, but there was no cell service in the area.The rain showed no sign of stopping, and they began to worry about being stranded overnight.Sophia asked herself, 'How big is this problem?'"
73,66.46,8.74,22.45,4.12,8.46,disaster,disaster,field trip,"Emily, a twelve-year-old, was on a field trip with her class when a sudden storm hit, causing a flash flood.The water quickly rose, trapping the school bus, and everyone was evacuated to the roof for safety.Some of Emily's classmates were crying, and the teachers were trying to keep everyone calm while waiting for rescue.There was no quick fix as the flooding continued to rise, making it impossible to simply drive to safety.Emily thought to herself, ""How big is this problem?"""
74,61.09,10.72,14.62,4.34,8.48,disaster,disaster,basketball,"Jake, a 16-year-old basketball player, is playing in the school's gym when a fire alarm suddenly goes off, signaling a real fire.Smoke quickly fills the air, and the gym must be evacuated immediately for everyone's safety.The school principal announces that the fire has caused significant damage to the gym, and it will be closed indefinitely.Without an immediate solution, the basketball team's season is at risk, and Jake is unsure when they will practice again.With uncertainty surrounding the gym's repair, Jake wonders, ""How big is this problem?"""
75,59.81,9.65,14.75,4.15,8.22,disaster,disaster,art,"In a small art studio, Alex gazes at the flickering shadows from a fire that started in the neighboring room.The flames quickly spread, threatening to consume the precious paintings and supplies.Smoke fills the air, making it hard to breathe, and Alex rushes to find a safe way out.Realizing the potential loss of work and safety threat, Alex feels overwhelmed by the severity of the situation.In panic, Alex asks themselves, ""How big is this problem?"""
76,70.42,7.6,20.62,4.0,12.68,disaster,disaster,tennis,"Anna, a 16-year-old tennis player, was excited for the big tournament tomorrow.That night, a storm swept through her town, causing a massive flood.The entire indoor tennis facility was severely damaged, and the tournament was canceled.Anna’s family also suffered a major financial loss as their home was flooded.Sitting in a temporary shelter, Anna wondered, ""How big is this problem?"""
77,55.74,6.91,16.73,4.62,8.21,disaster,disaster,running,"Emma, a 17-year-old runner, was training for her marathon in the park when she suddenly heard screams nearby.She spotted thick smoke rising from the nearby residential area and realized a fire had broken out.Emma ran towards the area and saw firefighters struggling to control the blaze that threatened to spread.The families who lived there were evacuated, but their homes and belongings were being destroyed.Looking at the unfolding disaster, Emma thought to herself, 'How big is this problem?'"
78,59.36,6.65,15.54,4.2,7.92,disaster,disaster,after school club,"Sixteen-year-old Mia was excited for her after school art club, where she was about to showcase her final project.Suddenly, the building's fire alarm blared, and smoke started filling the hallway, sending everyone into a panic.An announcement over the intercom declared a real fire, and emergency services were on their way.Mia watched as flames engulfed parts of the art room, realizing her project and many others were lost.She sat on the grass outside, trembling, and thought to herself, 'How big is this problem?'"
